total_entities,avg_attributes_per_entity,has_unstructured_data,nested_entities_count,max_cardinality_score,expected_read_write_ratio,is_realtime_essential,data_growth_rate_gb_month,db_type,normalization_form,indexing_strategy,sharding_key
1,10.0,1,10,1,1.7067999999999999,1,137.5735,document,denormalized,compound_index,required
1,10.0,1,10,1,8.5335,1,61.6225,document,denormalized,compound_index,required
1,219.0,1,274,1,7.0819,1,66.08850000000001,document,denormalized,compound_index,required
1,10.0,1,10,1,17.9138,1,118.622,document,denormalized,compound_index,required
1,159.0,1,190,1,14.1385,1,50.356,document,denormalized,compound_index,required
1,13.0,1,15,1,13.8307,1,105.4125,document,denormalized,compound_index,required
1,9.0,0,9,1,5.2275,0,87.2295,document,denormalized,compound_index,required
1,364.0,1,408,1,18.1342,1,130.976,document,denormalized,compound_index,required
1,635.0,1,707,1,11.1935,1,84.70649999999999,document,denormalized,compound_index,required
1,10.0,1,10,1,8.2333,1,77.2535,document,denormalized,compound_index,required
1,339.0,1,414,1,14.9365,0,34.826499999999996,document,denormalized,compound_index,required
1,10.0,1,10,1,10.2948,0,40.495999999999995,document,denormalized,compound_index,required
1,5.0,1,5,1,13.674900000000001,0,5.8845,document,denormalized,compound_index,not_required
1,18.0,1,21,1,14.784500000000001,0,59.5925,document,denormalized,compound_index,required
1,7.0,1,8,1,17.7808,0,135.297,document,denormalized,compound_index,required
1,10.0,1,10,1,8.2352,1,8.1465,document,denormalized,compound_index,not_required
1,10.0,1,12,1,2.5922,1,32.7965,document,denormalized,compound_index,required
1,10.0,1,10,1,17.568,0,136.66,document,denormalized,compound_index,required
1,10.0,1,11,1,14.816799999999999,0,70.047,document,denormalized,compound_index,required
1,10.0,1,10,1,17.9081,1,90.9995,document,denormalized,compound_index,required
1,654.0,1,757,1,19.570600000000002,1,118.245,document,denormalized,compound_index,required
1,10.0,1,10,1,11.907900000000001,1,142.75,document,denormalized,compound_index,required
1,10.0,1,10,1,7.9825,1,145.35999999999999,document,denormalized,compound_index,required
1,10.0,1,10,1,17.8796,1,149.9855,document,denormalized,compound_index,required
1,582.0,1,660,1,17.9879,1,90.33250000000001,document,denormalized,compound_index,required
1,105.0,1,121,1,13.340499999999999,0,92.1595,document,denormalized,compound_index,required
1,570.0,1,651,1,19.829,0,109.574,document,denormalized,compound_index,required
1,232.0,1,258,1,15.4096,1,127.06099999999999,document,denormalized,compound_index,required
1,257.0,1,313,1,2.1666,0,90.9415,document,denormalized,compound_index,required
1,10.0,1,10,1,19.0823,1,66.07400000000001,document,denormalized,compound_index,required
1,10.0,1,10,1,9.968,0,34.8845,document,denormalized,compound_index,required
1,10.0,1,10,1,1.3458,0,135.1665,document,denormalized,compound_index,required
1,10.0,1,10,1,7.517,0,72.7295,document,denormalized,compound_index,required
1,741.0,1,865,1,8.2979,1,66.47999999999999,document,denormalized,compound_index,required
1,242.0,1,269,1,11.8015,1,96.495,document,denormalized,compound_index,required
1,245.0,1,281,1,6.6867,1,93.9285,document,denormalized,compound_index,required
1,10.0,1,10,1,7.0743,1,122.508,document,denormalized,compound_index,required
1,111.0,1,157,1,19.1583,0,99.33699999999999,document,denormalized,compound_index,required
1,238.0,1,296,1,16.078400000000002,1,71.265,document,denormalized,compound_index,required
1,10.0,1,10,1,12.799,1,121.3625,document,denormalized,compound_index,required
1,148.0,1,178,1,11.8452,0,28.2435,document,denormalized,compound_index,not_required
1,10.0,1,10,1,16.1582,0,46.5135,document,denormalized,compound_index,required
1,10.0,1,10,1,15.3773,0,23.936999999999998,document,denormalized,compound_index,not_required
1,12.0,1,12,1,8.7064,1,33.2315,document,denormalized,compound_index,required
1,13.0,1,15,1,14.8472,1,21.936,document,denormalized,compound_index,not_required
1,10.0,1,10,1,1.6365,0,103.5275,document,denormalized,compound_index,required
1,108.0,1,125,1,3.7189,0,140.6185,document,denormalized,compound_index,required
1,10.0,1,10,1,16.3995,1,104.8325,document,denormalized,compound_index,required
1,303.0,1,345,1,6.3713,1,41.54,document,denormalized,compound_index,required
1,10.0,1,10,1,16.1715,0,139.27,document,denormalized,compound_index,required
1,10.0,1,14,1,1.2774,1,125.2195,document,denormalized,compound_index,required
1,10.0,1,10,1,1.5091999999999999,1,83.213,document,denormalized,compound_index,required
1,79139.0,1,383326,1,10.4886,0,87.76599999999999,document,denormalized,compound_index,required
1,10.0,1,13,1,2.8373,1,56.504000000000005,document,denormalized,compound_index,required
1,167.0,1,194,1,5.9134,0,124.46549999999999,document,denormalized,compound_index,required
1,401.0,1,492,1,12.837,1,106.1955,document,denormalized,compound_index,required
1,10.0,1,10,1,2.6207000000000003,1,8.5235,document,denormalized,compound_index,not_required
1,10.0,1,10,1,12.875,0,98.061,document,denormalized,compound_index,required
1,14105.0,1,15595,1,5.2940000000000005,1,78.8775,document,denormalized,compound_index,required
1,10.0,1,12,1,8.5069,0,117.984,document,denormalized,compound_index,required
1,63.0,1,74,1,17.6858,1,40.4815,document,denormalized,compound_index,required
1,10.0,1,14,1,1.2413,1,19.703000000000003,document,denormalized,compound_index,not_required
1,10.0,1,10,1,4.347799999999999,0,106.239,document,denormalized,compound_index,required
1,10.0,1,11,1,9.5253,0,146.897,document,denormalized,compound_index,required
1,5892.0,1,1163314,1,18.0088,0,120.797,document,denormalized,compound_index,required
1,10.0,1,10,1,17.552799999999998,1,138.1245,document,denormalized,compound_index,required
1,135.0,1,155,1,10.5228,1,110.386,document,denormalized,compound_index,required
1,8.0,1,9,1,2.9741,0,130.7585,document,denormalized,compound_index,required
1,7.0,1,8,1,2.3053,1,54.0825,document,denormalized,compound_index,required
1,10.0,1,11,1,15.6889,0,28.6495,document,denormalized,compound_index,not_required
1,10.0,1,10,1,15.9397,1,149.1735,document,denormalized,compound_index,required
1,10.0,1,10,1,19.7739,1,104.0205,document,denormalized,compound_index,required
1,376.0,1,441,1,3.375,1,16.049,document,denormalized,compound_index,not_required
1,46.0,1,49567,1,8.5316,0,129.3375,document,denormalized,compound_index,required
1,4.0,1,4,1,17.552799999999998,1,32.230999999999995,document,denormalized,compound_index,required
1,180.0,1,217,1,7.935,1,90.83999999999999,document,denormalized,compound_index,required
1,138.0,1,190,1,16.789,1,110.6035,document,denormalized,compound_index,required
1,242.0,1,269,1,14.4102,1,54.561,document,denormalized,compound_index,required
1,130.0,1,154,1,16.9809,1,66.4075,document,denormalized,compound_index,required
1,139.0,1,194,1,11.0244,1,132.542,document,denormalized,compound_index,required
1,10.0,1,10,1,3.2325,1,113.431,document,denormalized,compound_index,required
1,118.0,1,142,1,18.7669,1,36.9725,document,denormalized,compound_index,required
1,164.0,1,41772,1,16.2038,1,121.29,document,denormalized,compound_index,required
1,10.0,1,11,1,2.5029000000000003,1,21.616999999999997,document,denormalized,compound_index,not_required
1,10.0,1,10,1,8.7653,0,89.738,document,denormalized,compound_index,required
1,311.0,1,396,1,17.0455,1,102.42550000000001,document,denormalized,compound_index,required
1,90.0,1,99,1,14.2354,1,99.2645,document,denormalized,compound_index,required
1,352.0,1,457,1,9.306799999999999,0,117.89699999999999,document,denormalized,compound_index,required
1,104.0,1,134,1,9.3467,1,121.7105,document,denormalized,compound_index,required
1,76.0,1,93,1,3.7873,0,149.47799999999998,document,denormalized,compound_index,required
1,10.0,1,10,1,16.39,1,136.06550000000001,document,denormalized,compound_index,required
1,10.0,1,11,1,16.572400000000002,1,147.41899999999998,document,denormalized,compound_index,required
1,83.0,1,103,1,11.9117,1,28.925,document,denormalized,compound_index,not_required
1,10.0,1,10,1,3.964,1,141.02450000000002,document,denormalized,compound_index,required
1,10.0,1,10,1,12.042800000000002,1,100.845,document,denormalized,compound_index,required
1,98818.0,1,690134,1,15.2196,0,59.9115,document,denormalized,compound_index,required
1,209.0,1,232,1,3.9963,0,105.4125,document,denormalized,compound_index,required
